,age,sex,wtyrago,finalwt,wtkg2,htm3
707,73.0,1,97.72727272727272,226.488037,97.73,193.0
708,59.0,2,113.63636363636363,181.555604,113.64,173.0
709,57.0,2,88.63636363636363,160.137209,88.64,160.0
710,71.0,2,77.72727272727272,166.858109,77.73,168.0
711,52.0,1,109.09090909090908,648.969007,100.0,183.0
712,52.0,1,102.27272727272727,648.969007,102.27,191.0
713,44.0,2,,996.257758,72.73,163.0
714,51.0,2,,214.290894,88.18,165.0
715,30.0,1,120.45454545454544,1482.49913,120.45,191.0
716,40.0,2,109.09090909090908,500.402312,109.09,175.0
717,35.0,2,59.090909090909086,500.402312,59.09,165.0
718,51.0,2,52.272727272727266,428.581789,55.0,168.0
719,58.0,2,70.9090909090909,34.1650052,70.91,160.0
720,44.0,1,67.27272727272727,411.701423,67.27,178.0
721,60.0,2,94.09090909090908,34.1650052,87.73,165.0
722,27.0,2,75.0,107.636312,90.91,165.0
723,63.0,1,120.45454545454544,60.5600958,121.82,191.0
724,57.0,1,76.36363636363636,121.120192,76.36,180.0
725,74.0,2,68.18181818181817,35.5569763,65.91,157.0
726,24.0,2,94.09090909090908,285.823576,86.36,165.0
727,25.0,1,106.81818181818181,296.84704,109.09,175.0
728,61.0,1,63.63636363636363,153.337237,63.64,163.0
729,69.0,2,95.45454545454545,35.5569763,95.45,183.0
730,38.0,2,59.090909090909086,107.636312,61.36,163.0
731,34.0,2,61.81818181818181,142.911788,63.18,157.0
732,71.0,2,56.81818181818181,35.5569763,46.36,155.0
733,54.0,2,81.81818181818181,43.2278187,90.91,173.0
734,,2,,130.230907,,178.0
735,59.0,2,,34.1650052,,173.0
736,42.0,2,68.63636363636363,214.367682,69.09,170.0
737,54.0,2,84.09090909090908,86.4556374,81.82,157.0
738,55.0,2,77.27272727272727,30.7582986,77.27,168.0
739,73.0,2,61.36363636363636,35.5569763,61.36,160.0
740,59.0,2,,61.5165972,,168.0
741,55.0,1,118.18181818181817,153.337237,118.18,175.0
742,27.0,2,90.9090909090909,107.636312,100.91,160.0
743,65.0,1,81.81818181818181,152.192162,95.45,170.0
744,62.0,2,59.090909090909086,30.7582986,64.55,157.0
745,25.0,2,72.72727272727272,81.7751541,77.27,170.0
746,40.0,2,61.36363636363636,214.367682,63.18,157.0
747,81.0,2,56.81818181818181,35.5569763,56.82,163.0
748,59.0,2,70.45454545454545,61.5165972,70.45,160.0
749,28.0,2,49.090909090909086,81.7751541,52.27,165.0
750,29.0,2,113.63636363636363,71.4558941,118.18,170.0
751,45.0,2,86.36363636363636,86.4556374,106.82,163.0
752,67.0,2,61.36363636363636,35.5569763,63.64,163.0
753,66.0,2,63.63636363636363,53.560617,68.18,160.0
754,51.0,2,81.81818181818181,65.1154537,81.82,163.0
755,64.0,1,79.54545454545453,153.337237,79.55,175.0
756,31.0,2,95.45454545454545,284.122175,104.55,157.0
757,64.0,2,55.90909090909091,30.7582986,58.64,163.0
758,80.0,1,85.0,101.461441,85.0,175.0
759,59.0,1,,60.5600958,,178.0
760,60.0,2,65.9090909090909,61.5165972,67.73,168.0
761,45.0,2,140.9090909090909,86.4556374,131.82,191.0
762,43.0,1,79.54545454545453,172.804491,79.55,178.0
763,28.0,1,,296.84704,68.18,180.0
764,51.0,2,78.63636363636363,166.03914,74.55,165.0
765,41.0,2,63.63636363636363,163.550308,38.64,142.0
766,51.0,2,79.54545454545453,727.563017,79.55,173.0
